Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
13-06 02:00,0.4,0.0,0.0,0.4000000059604645,0.0,0,0,0,0
13-06 03:00,0.5,0.0,0.0,0.5,0.0,0,0,0,0
13-06 04:00,12.7,0.0,0.0,12.600000381469727,0.10000000149011612,0,0,0,0
13-06 05:00,13.9,0.0,0.0,13.199999809265137,0.699999988079071,0,0,0,0
13-06 06:00,3.4,0.0,0.0,1.100000023841858,2.299999952316284,0,0,0,0
13-06 07:00,6.9,0.0,0.0,1.600000023841858,5.300000190734863,0,0,0,0
13-06 08:00,11.1,0.0,0.0,2.299999952316284,8.800000190734863,0,0,0,0
13-06 09:00,14.5,0.0,0.0,2.5999999046325684,11.899999618530273,0,0,0,0
13-06 10:00,15.5,0.0,0.0,2.5999999046325684,12.899999618530273,0,0,0,0
13-06 11:00,16.4,0.0,0.0,2.299999952316284,14.100000381469727,0,0,0,0
13-06 12:00,14.4,0.0,0.0,1.899999976158142,12.5,0,0,0,0
13-06 13:00,13.6,0.0,0.0,1.7000000476837158,11.899999618530273,0,0,0,0
13-06 14:00,11.0,0.0,0.0,1.600000023841858,9.399999618530273,0,0,0,0
13-06 15:00,8.8,0.0,0.0,1.5,7.400000095367432,0,0,0,0
13-06 16:00,8.0,0.0,0.0,1.600000023841858,6.400000095367432,0,0,0,0
13-06 17:00,3.2,0.0,0.0,1.5,1.7000000476837158,0,0,0,0
13-06 18:00,2.1,0.0,0.0,1.399999976158142,0.699999988079071,0,0,0,0
13-06 19:00,1.1,0.0,0.0,1.100000023841858,0.0,0,0,0,0
13-06 20:00,0.8,0.0,0.0,0.800000011920929,0.0,0,0,0,0
13-06 21:00,0.8,0.0,0.0,0.800000011920929,0.0,0,0,0,0
13-06 22:00,0.6,0.0,0.0,0.6000000238418579,0.0,0,0,0,0
13-06 23:00,0.6,0.0,0.0,0.6000000238418579,0.0,0,0,0,0
14-06 00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14-06 01:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14-06 02:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14-06 03:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14-06 04:00,0.1,0.0,0.0,0.0,0.10000000149011612,0,0,0,0
14-06 05:00,0.7,0.0,0.0,0.0,0.699999988079071,0,0,0,0
14-06 06:00,2.5,0.0,0.0,0.0,2.5,0,0,0,0
14-06 07:00,5.5,0.0,0.0,0.0,5.5,0,0,0,0
14-06 08:00,9.3,0.0,0.0,0.0,9.300000190734863,0,0,0,0
14-06 09:00,12.5,0.0,0.0,0.0,12.5,0,0,0,0
14-06 10:00,13.4,0.0,0.0,0.0,13.399999618530273,0,0,0,0
14-06 11:00,13.2,0.0,0.0,0.0,13.199999809265137,0,0,0,0
14-06 12:00,14.1,0.0,0.0,0.0,14.0,0,0,0,0
14-06 13:00,12.6,0.0,0.0,0.0,12.600000381469727,0,0,0,0
14-06 14:00,9.9,0.0,0.0,0.0,9.899999618530273,0,0,0,0
14-06 15:00,7.3,0.0,0.0,0.0,7.300000190734863,0,0,0,0
14-06 16:00,6.0,0.0,0.0,0.0,6.0,0,0,0,0
14-06 17:00,1.7,0.0,0.0,0.0,1.7000000476837158,0,0,0,0
14-06 18:00,0.8,0.0,0.0,0.0,0.800000011920929,0,0,0,0
14-06 19:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14-06 20:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14-06 21:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
14-06 22:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
