Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
26-05 14:00,8.0,0.0,0.0,6.400000095367432,1.600000023841858,0,0,0,0
26-05 15:00,7.2,0.0,0.0,5.800000190734863,1.399999976158142,0,0,0,0
26-05 16:00,6.8,0.0,0.0,5.699999809265137,1.100000023841858,0,0,0,0
26-05 17:00,6.4,0.0,0.0,5.5,0.8999999761581421,0,0,0,0
26-05 18:00,6.1,0.0,0.0,5.300000190734863,0.800000011920929,0,0,0,0
26-05 19:00,6.7,0.0,0.0,5.800000190734863,0.8999999761581421,0,0,0,0
26-05 20:00,6.2,0.0,0.0,5.300000190734863,0.800000011920929,0,0,0,0
26-05 21:00,5.8,0.0,0.0,5.0,0.800000011920929,0,0,0,0
26-05 22:00,6.1,0.0,0.0,5.199999809265137,0.8999999761581421,0,0,0,0
26-05 23:00,6.1,0.0,0.0,5.199999809265137,0.8999999761581421,0,0,0,0
27-05 00:00,34.3,0.0,0.0,33.5,0.800000011920929,0,0,0,0
27-05 01:00,43.6,0.0,0.0,42.70000076293945,0.8999999761581421,0,0,0,0
27-05 02:00,44.5,0.0,0.0,43.599998474121094,0.8999999761581421,0,0,0,0
27-05 03:00,41.6,0.0,0.0,40.79999923706055,0.800000011920929,0,0,0,0
27-05 04:00,44.4,0.0,0.0,43.5,0.800000011920929,0,0,0,0
27-05 05:00,48.7,0.0,0.0,47.900001525878906,0.800000011920929,0,0,0,0
27-05 06:00,51.7,0.0,0.0,50.900001525878906,0.800000011920929,0,0,0,0
27-05 07:00,54.9,0.0,0.0,54.0,0.800000011920929,0,0,0,0
27-05 08:00,48.6,0.0,0.0,47.70000076293945,0.8999999761581421,0,0,0,0
27-05 09:00,40.7,0.0,0.0,39.5,1.2000000476837158,0,0,0,0
27-05 10:00,40.0,0.0,0.0,38.5,1.5,0,0,0,0
27-05 11:00,31.9,0.0,0.0,30.399999618530273,1.5,0,0,0,0
27-05 12:00,16.8,0.0,0.0,15.399999618530273,1.399999976158142,0,0,0,0
27-05 13:00,23.3,0.0,0.0,22.0,1.2999999523162842,0,0,0,0
27-05 14:00,15.8,0.0,0.0,14.600000381469727,1.2000000476837158,0,0,0,0
27-05 15:00,15.3,0.0,0.0,14.199999809265137,1.100000023841858,0,0,0,0
27-05 16:00,15.4,0.0,0.0,14.399999618530273,1.0,0,0,0,0
27-05 17:00,13.2,0.0,0.0,12.399999618530273,0.800000011920929,0,0,0,0
27-05 18:00,21.8,0.0,0.0,21.0,0.800000011920929,0,0,0,0
27-05 19:00,28.8,0.0,0.0,27.899999618530273,0.800000011920929,0,0,0,0
27-05 20:00,34.1,0.0,0.0,33.29999923706055,0.800000011920929,0,0,0,0
27-05 21:00,41.9,0.0,0.0,41.099998474121094,0.800000011920929,0,0,0,0
27-05 22:00,44.0,0.0,0.0,43.099998474121094,0.8999999761581421,0,0,0,0
27-05 23:00,46.1,0.0,0.0,45.29999923706055,0.800000011920929,0,0,0,0
28-05 00:00,59.4,0.0,0.0,58.5,0.8999999761581421,0,0,0,0
28-05 01:00,53.4,0.0,0.0,52.599998474121094,0.800000011920929,0,0,0,0
28-05 02:00,53.0,0.0,0.0,52.20000076293945,0.800000011920929,0,0,0,0
28-05 03:00,63.7,0.0,0.0,62.79999923706055,0.8999999761581421,0,0,0,0
28-05 04:00,61.8,0.0,0.0,61.0,0.800000011920929,0,0,0,0
28-05 05:00,64.3,0.0,0.0,63.5,0.800000011920929,0,0,0,0
28-05 06:00,65.5,0.0,0.0,64.4000015258789,1.100000023841858,0,0,0,0
28-05 07:00,63.5,0.0,0.0,61.0,2.5,0,0,0,0
28-05 08:00,79.2,0.0,0.0,74.80000305175781,4.400000095367432,0,0,0,0
28-05 09:00,77.1,0.0,0.0,70.30000305175781,6.800000190734863,0,0,0,0
28-05 10:00,63.4,0.0,0.0,56.20000076293945,7.199999809265137,0,0,0,0
28-05 11:00,56.1,0.0,0.0,48.70000076293945,7.400000095367432,0,0,0,0
28-05 12:00,39.9,0.0,0.0,33.5,6.400000095367432,0,0,0,0
28-05 13:00,35.7,0.0,0.0,29.0,6.699999809265137,0,0,0,0
28-05 14:00,48.7,0.0,0.0,42.599998474121094,6.199999809265137,0,0,0,0
28-05 15:00,47.9,0.0,0.0,42.29999923706055,5.599999904632568,0,0,0,0
28-05 16:00,37.7,0.0,0.0,33.79999923706055,3.9000000953674316,0,0,0,0
28-05 17:00,35.9,0.0,0.0,33.099998474121094,2.799999952316284,0,0,0,0
28-05 18:00,35.9,0.0,0.0,33.79999923706055,2.0999999046325684,0,0,0,0
28-05 19:00,39.5,0.0,0.0,38.0,1.5,0,0,0,0
28-05 20:00,53.8,0.0,0.0,52.70000076293945,1.100000023841858,0,0,0,0
28-05 21:00,54.7,0.0,0.0,53.79999923706055,0.800000011920929,0,0,0,0
28-05 22:00,55.1,0.0,0.0,54.29999923706055,0.800000011920929,0,0,0,0
28-05 23:00,66.3,0.0,0.0,65.5,0.800000011920929,0,0,0,0
29-05 00:00,80.0,0.0,0.0,79.19999694824219,0.800000011920929,0,0,0,0
29-05 01:00,89.9,0.0,0.0,89.0,0.8999999761581421,0,0,0,0
29-05 02:00,89.8,0.0,0.0,88.9000015258789,0.800000011920929,0,0,0,0
29-05 03:00,87.8,0.0,0.0,87.0,0.800000011920929,0,0,0,0
29-05 04:00,97.6,0.0,0.0,96.69999694824219,0.8999999761581421,0,0,0,0
29-05 05:00,87.1,0.0,0.0,86.30000305175781,0.800000011920929,0,0,0,0
29-05 06:00,86.8,0.0,0.0,85.69999694824219,1.100000023841858,0,0,0,0
29-05 07:00,85.0,0.0,0.0,82.5,2.5,0,0,0,0
29-05 08:00,73.1,0.0,0.0,68.5999984741211,4.5,0,0,0,0
29-05 09:00,60.4,0.0,0.0,53.70000076293945,6.599999904632568,0,0,0,0
29-05 10:00,62.7,0.0,0.0,55.5,7.199999809265137,0,0,0,0
29-05 11:00,49.8,0.0,0.0,42.20000076293945,7.599999904632568,0,0,0,0
29-05 12:00,46.7,0.0,0.0,40.099998474121094,6.599999904632568,0,0,0,0
29-05 13:00,42.0,0.0,0.0,35.29999923706055,6.599999904632568,0,0,0,0
29-05 14:00,48.1,0.0,0.0,41.900001525878906,6.199999809265137,0,0,0,0
29-05 15:00,39.0,0.0,0.0,33.5,5.5,0,0,0,0
29-05 16:00,44.3,0.0,0.0,40.29999923706055,4.0,0,0,0,0
29-05 17:00,43.2,0.0,0.0,40.29999923706055,2.9000000953674316,0,0,0,0
29-05 18:00,48.0,0.0,0.0,45.900001525878906,2.0999999046325684,0,0,0,0
29-05 19:00,52.7,0.0,0.0,51.20000076293945,1.5,0,0,0,0
29-05 20:00,61.0,0.0,0.0,59.79999923706055,1.2000000476837158,0,0,0,0
29-05 21:00,68.6,0.0,0.0,67.69999694824219,0.8999999761581421,0,0,0,0
29-05 22:00,73.7,0.0,0.0,72.80000305175781,0.800000011920929,0,0,0,0
29-05 23:00,79.2,0.0,0.0,78.4000015258789,0.800000011920929,0,0,0,0
30-05 00:00,75.2,0.0,0.0,74.30000305175781,0.800000011920929,0,0,0,0
30-05 01:00,70.7,0.0,0.0,69.9000015258789,0.800000011920929,0,0,0,0
30-05 02:00,74.2,0.0,0.0,73.4000015258789,0.800000011920929,0,0,0,0
30-05 03:00,74.8,0.0,0.0,74.0,0.800000011920929,0,0,0,0
30-05 04:00,69.0,0.0,0.0,68.19999694824219,0.800000011920929,0,0,0,0
30-05 05:00,70.8,0.0,0.0,70.0,0.800000011920929,0,0,0,0
30-05 06:00,60.2,0.0,0.0,59.20000076293945,1.0,0,0,0,0
30-05 07:00,60.8,0.0,0.0,58.29999923706055,2.5,0,0,0,0
30-05 08:00,64.6,0.0,0.0,60.099998474121094,4.5,0,0,0,0
30-05 09:00,55.3,0.0,0.0,49.099998474121094,6.199999809265137,0,0,0,0
30-05 10:00,52.2,0.0,0.0,45.400001525878906,6.800000190734863,0,0,0,0
30-05 11:00,50.3,0.0,0.0,42.5,7.800000190734863,0,0,0,0
30-05 12:00,42.7,0.0,0.0,35.599998474121094,7.099999904632568,0,0,0,0
30-05 13:00,40.4,0.0,0.0,34.0,6.400000095367432,0,0,0,0
30-05 14:00,33.3,0.0,0.0,27.100000381469727,6.199999809265137,0,0,0,0
30-05 15:00,32.7,0.0,0.0,27.0,5.699999809265137,0,0,0,0
30-05 16:00,29.9,0.0,0.0,25.899999618530273,4.0,0,0,0,0
30-05 17:00,43.1,0.0,0.0,40.20000076293945,2.9000000953674316,0,0,0,0
30-05 18:00,41.9,0.0,0.0,39.79999923706055,2.0999999046325684,0,0,0,0
30-05 19:00,39.1,0.0,0.0,37.599998474121094,1.5,0,0,0,0
30-05 20:00,38.1,0.0,0.0,37.0,1.100000023841858,0,0,0,0
30-05 21:00,40.6,0.0,0.0,39.70000076293945,0.8999999761581421,0,0,0,0
30-05 22:00,49.7,0.0,0.0,48.79999923706055,0.8999999761581421,0,0,0,0
