Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
11-11 15:00,102.7,0.0,0.0,88.4000015258789,14.300000190734863,0,0,0,0
11-11 16:00,122.3,0.0,0.0,107.0999984741211,15.199999809265137,0,0,0,0
11-11 17:00,121.8,0.0,0.0,109.5,12.300000190734863,0,0,0,0
11-11 18:00,120.2,0.0,0.0,109.19999694824219,11.0,0,0,0,0
11-11 19:00,140.4,0.0,0.0,129.1999969482422,11.199999809265137,0,0,0,0
11-11 20:00,135.3,0.0,0.0,126.0999984741211,9.199999809265137,0,0,0,0
11-11 21:00,134.2,0.0,0.0,127.30000305175781,6.900000095367432,0,0,0,0
11-11 22:00,73.0,0.0,0.0,68.30000305175781,4.699999809265137,0,0,0,0
11-11 23:00,64.2,0.0,0.0,59.900001525878906,4.400000095367432,0,0,0,0
12-11 00:00,71.9,0.0,0.0,66.9000015258789,5.0,0,0,0,0
12-11 01:00,77.3,0.0,0.0,72.69999694824219,4.599999904632568,0,0,0,0
12-11 02:00,68.4,0.0,0.0,65.80000305175781,2.5999999046325684,0,0,0,0
12-11 03:00,65.8,0.0,0.0,63.29999923706055,2.5,0,0,0,0
12-11 04:00,71.3,0.0,0.0,66.80000305175781,4.5,0,0,0,0
12-11 05:00,103.0,0.0,0.0,90.80000305175781,12.199999809265137,0,0,0,0
12-11 06:00,177.3,0.0,0.0,138.1999969482422,39.099998474121094,0,0,0,0
12-11 07:00,171.6,0.0,0.0,132.8000030517578,38.79999923706055,0,0,0,0
12-11 08:00,137.5,0.0,0.0,103.19999694824219,34.400001525878906,0,0,0,0
12-11 09:00,125.1,0.0,0.0,93.0,32.099998474121094,0,0,0,0
12-11 10:00,107.0,0.0,0.0,82.19999694824219,24.799999237060547,0,0,0,0
12-11 11:00,104.0,0.0,0.0,79.9000015258789,24.100000381469727,0,0,0,0
12-11 12:00,93.4,0.0,0.0,73.0,20.5,0,0,0,0
12-11 13:00,91.9,0.0,0.0,70.5,21.399999618530273,0,0,0,0
12-11 14:00,90.1,0.0,0.0,71.30000305175781,18.799999237060547,0,0,0,0
12-11 15:00,94.9,0.0,0.0,75.9000015258789,19.0,0,0,0,0
